@info
{
    "table":{
        "name":"candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_home_garden",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT
200,535225,535225#Walmart.com
201,535525,535525#Walmart.com
202,536162,536162#Walmart.com
203,536211,536211#Walmart.com
204,536700,536700#Walmart.com
205,536900,536900#Walmart.com
206,546498,546498#Walmart.com
207,546807,546807#Walmart.com
208,549363,549363#Walmart.com
209,551858,551858#Walmart.com
210,551885,551885#Walmart.com
211,555046,555046#Walmart.com
212,556395,556395#Walmart.com
213,556688,556688#Walmart.com
214,556723,556723#Walmart.com
215,561583,561583#Walmart.com
216,561837,561837#Walmart.com
217,562805,562805#Walmart.com
218,563006,563006#Walmart.com
219,570959,570959#Walmart.com
220,577398,577398#Walmart.com
221,581470,581470#Walmart.com
222,585087,585087#Walmart.com
223,588040,588040#Walmart.com
224,599063,599063#Walmart.com
225,608095,608095#Walmart.com
226,620473,620473#Walmart.com
227,621085,621085#Walmart.com
228,623135,623135#Walmart.com
229,625498,625498#Walmart.com
230,626198,626198#Walmart.com
231,626377,626377#Walmart.com
232,629124,629124#Walmart.com
233,632924,632924#Walmart.com
234,635683,635683#Walmart.com
235,639392,639392#Walmart.com
236,639572,639572#Walmart.com
237,640005,640005#Walmart.com
238,645870,645870#Walmart.com
239,645949,645949#Walmart.com
240,647588,647588#Walmart.com
241,652265,652265#Walmart.com
242,653161,653161#Walmart.com
243,653470,653470#Walmart.com
244,653482,653482#Walmart.com
245,655576,655576#Walmart.com
246,655836,655836#Walmart.com
247,659616,659616#Walmart.com
248,663914,663914#Walmart.com
249,664576,664576#Walmart.com
250,665054,665054#Walmart.com
251,666073,666073#Walmart.com
252,666573,666573#Walmart.com
253,670036,670036#Walmart.com
254,676544,676544#Walmart.com
255,684408,684408#Walmart.com
256,684754,684754#Walmart.com
257,684811,684811#Walmart.com
258,685207,685207#Walmart.com
259,685568,685568#Walmart.com
260,691022,691022#Walmart.com
261,700285,700285#Walmart.com
262,704077,704077#Walmart.com
263,711630,711630#Walmart.com
264,714057,714057#Walmart.com
265,721142,721142#Walmart.com
266,721455,721455#Walmart.com
267,722903,722903#Walmart.com
268,724380,724380#Walmart.com
269,726406,726406#Walmart.com
270,726409,726409#Walmart.com
271,726598,726598#Walmart.com
272,727424,727424#Walmart.com
273,728511,728511#Walmart.com
274,732216,732216#Walmart.com
275,735866,735866#Walmart.com
276,740835,740835#Walmart.com
277,742219,742219#Walmart.com
278,743267,743267#Walmart.com
279,743389,743389#Walmart.com
280,743510,743510#Walmart.com
281,746289,746289#Walmart.com
282,749039,749039#Walmart.com
283,749426,749426#Walmart.com
284,753928,753928#Walmart.com
285,755184,755184#Walmart.com
286,756453,756453#Walmart.com
287,758158,758158#Walmart.com
288,758401,758401#Walmart.com
289,773441,773441#Walmart.com
290,777338,777338#Walmart.com
291,780693,780693#Walmart.com
292,788881,788881#Walmart.com
293,789154,789154#Walmart.com
294,793101,793101#Walmart.com
295,794193,794193#Walmart.com
296,796291,796291#Walmart.com
297,800053,800053#Walmart.com
298,800575,800575#Walmart.com
299,803778,803778#Walmart.com
300,805482,805482#Walmart.com
301,805947,805947#Walmart.com
302,806506,806506#Walmart.com
303,809958,809958#Walmart.com
304,810500,810500#Walmart.com
305,813860,813860#Walmart.com
306,826878,826878#Walmart.com
307,827537,827537#Walmart.com
308,827986,827986#Walmart.com
309,828599,828599#Walmart.com
310,829201,829201#Walmart.com
311,829927,829927#Walmart.com
312,830329,830329#Walmart.com
313,831763,831763#Walmart.com
314,834043,834043#Walmart.com
315,834679,834679#Walmart.com
316,835305,835305#Walmart.com
317,835508,835508#Walmart.com
318,836160,836160#Walmart.com
319,836334,836334#Walmart.com
320,837162,837162#Walmart.com
321,837647,837647#Walmart.com
322,838534,838534#Walmart.com
323,839563,839563#Walmart.com
324,840816,840816#Walmart.com
325,840963,840963#Walmart.com
326,841613,841613#Walmart.com
327,843920,843920#Walmart.com
328,844037,844037#Walmart.com
329,844077,844077#Walmart.com
330,846618,846618#Walmart.com
331,847420,847420#Walmart.com
332,847860,847860#Walmart.com
333,847872,847872#Walmart.com
334,848564,848564#Walmart.com
335,848684,848684#Walmart.com
336,850063,850063#Walmart.com
337,850115,850115#Walmart.com
338,851329,851329#Walmart.com
339,852376,852376#Walmart.com
340,852381,852381#Walmart.com
341,853530,853530#Walmart.com
342,855478,855478#Walmart.com
343,855630,855630#Walmart.com
344,857011,857011#Walmart.com
345,857328,857328#Walmart.com
346,858824,858824#Walmart.com
347,858873,858873#Walmart.com
348,859180,859180#Walmart.com
349,860897,860897#Walmart.com
350,861531,861531#Walmart.com
351,862073,862073#Walmart.com
352,863304,863304#Walmart.com
353,865657,865657#Walmart.com
354,867429,867429#Walmart.com
355,867554,867554#Walmart.com
356,867857,867857#Walmart.com
357,869404,869404#Walmart.com
358,870795,870795#Walmart.com
359,872420,872420#Walmart.com
360,876289,876289#Walmart.com
361,879559,879559#Walmart.com
362,880493,880493#Walmart.com
363,880494,880494#Walmart.com
364,880812,880812#Walmart.com
365,882653,882653#Walmart.com
366,883215,883215#Walmart.com
367,907904,907904#Walmart.com
368,908722,908722#Walmart.com
369,909789,909789#Walmart.com
370,910737,910737#Walmart.com
371,918118,918118#Walmart.com
372,920077,920077#Walmart.com
373,923324,923324#Walmart.com
374,923413,923413#Walmart.com
375,923417,923417#Walmart.com
376,925576,925576#Walmart.com
377,928611,928611#Walmart.com
378,929002,929002#Walmart.com
379,929074,929074#Walmart.com
380,929690,929690#Walmart.com
381,929890,929890#Walmart.com
382,930641,930641#Walmart.com
383,930834,930834#Walmart.com
384,931588,931588#Walmart.com
385,931869,931869#Walmart.com
386,978446,978446#Walmart.com
387,989408,989408#Walmart.com
388,999113,999113#Walmart.com
389,1689,1689#Walmart.com
390,3222,3222#Walmart.com
391,204404,204404#Walmart.com
392,208761,208761#Walmart.com
393,209866,209866#Walmart.com
394,209910,209910#Walmart.com
395,211344,211344#Walmart.com
396,212127,212127#Walmart.com
397,216029,216029#Walmart.com
398,218786,218786#Walmart.com
399,220483,220483#Walmart.com
400,223586,223586#Walmart.com
401,224585,224585#Walmart.com
402,227617,227617#Walmart.com
403,235489,235489#Walmart.com
404,235528,235528#Walmart.com
405,236261,236261#Walmart.com
406,236412,236412#Walmart.com
407,236983,236983#Walmart.com
408,238199,238199#Walmart.com
409,245844,245844#Walmart.com
410,246026,246026#Walmart.com
411,248231,248231#Walmart.com
412,256331,256331#Walmart.com
413,261785,261785#Walmart.com
414,274484,274484#Walmart.com
415,278779,278779#Walmart.com
416,281307,281307#Walmart.com
417,282403,282403#Walmart.com
418,283255,283255#Walmart.com
419,283273,283273#Walmart.com
420,283380,283380#Walmart.com
421,283434,283434#Walmart.com
422,283461,283461#Walmart.com
423,284445,284445#Walmart.com
424,285179,285179#Walmart.com
425,286428,286428#Walmart.com
426,286804,286804#Walmart.com
427,288344,288344#Walmart.com
428,289388,289388#Walmart.com
429,294993,294993#Walmart.com
430,296747,296747#Walmart.com
431,301424,301424#Walmart.com
432,305233,305233#Walmart.com
433,305433,305433#Walmart.com
434,309349,309349#Walmart.com
435,309506,309506#Walmart.com
436,309602,309602#Walmart.com
437,312081,312081#Walmart.com
438,312103,312103#Walmart.com
439,316317,316317#Walmart.com
440,319312,319312#Walmart.com
441,319956,319956#Walmart.com
442,323628,323628#Walmart.com
443,324537,324537#Walmart.com
444,325737,325737#Walmart.com
445,326312,326312#Walmart.com
446,326397,326397#Walmart.com
447,332098,332098#Walmart.com
448,364050,364050#Walmart.com
449,364449,364449#Walmart.com
450,365378,365378#Walmart.com
451,365495,365495#Walmart.com
452,369877,369877#Walmart.com
453,370461,370461#Walmart.com
454,370558,370558#Walmart.com
455,371583,371583#Walmart.com
456,371643,371643#Walmart.com
457,373536,373536#Walmart.com
458,373586,373586#Walmart.com
459,375414,375414#Walmart.com
460,377078,377078#Walmart.com
461,377677,377677#Walmart.com
462,377834,377834#Walmart.com
463,377958,377958#Walmart.com
464,378342,378342#Walmart.com
465,378538,378538#Walmart.com
466,378599,378599#Walmart.com
467,378988,378988#Walmart.com
468,379296,379296#Walmart.com
469,379797,379797#Walmart.com
470,380012,380012#Walmart.com
471,387699,387699#Walmart.com
472,389892,389892#Walmart.com
473,390403,390403#Walmart.com
474,392310,392310#Walmart.com
475,392371,392371#Walmart.com
476,393253,393253#Walmart.com
477,398733,398733#Walmart.com
478,398923,398923#Walmart.com
479,399115,399115#Walmart.com
480,402980,402980#Walmart.com
481,403001,403001#Walmart.com
482,403165,403165#Walmart.com
483,403358,403358#Walmart.com
484,405152,405152#Walmart.com
485,405425,405425#Walmart.com
486,405596,405596#Walmart.com
487,405658,405658#Walmart.com
488,405799,405799#Walmart.com
489,406605,406605#Walmart.com
490,411298,411298#Walmart.com
491,418031,418031#Walmart.com
492,418065,418065#Walmart.com
493,423308,423308#Walmart.com
494,423894,423894#Walmart.com
495,428397,428397#Walmart.com
496,432935,432935#Walmart.com
497,434411,434411#Walmart.com
498,435237,435237#Walmart.com
499,436009,436009#Walmart.com
500,438846,438846#Walmart.com
501,440844,440844#Walmart.com
502,440865,440865#Walmart.com
503,442194,442194#Walmart.com
504,442587,442587#Walmart.com
505,442699,442699#Walmart.com
506,445463,445463#Walmart.com
507,446216,446216#Walmart.com
508,451505,451505#Walmart.com
509,451852,451852#Walmart.com
510,452454,452454#Walmart.com
511,453798,453798#Walmart.com
512,454733,454733#Walmart.com
513,454934,454934#Walmart.com
514,454981,454981#Walmart.com
515,455063,455063#Walmart.com
516,455222,455222#Walmart.com
517,455414,455414#Walmart.com
518,456010,456010#Walmart.com
519,460108,460108#Walmart.com
520,460407,460407#Walmart.com
521,461204,461204#Walmart.com
522,461553,461553#Walmart.com
523,461634,461634#Walmart.com
524,463724,463724#Walmart.com
525,464136,464136#Walmart.com
526,464143,464143#Walmart.com
527,464277,464277#Walmart.com
528,464714,464714#Walmart.com
529,469003,469003#Walmart.com
530,471324,471324#Walmart.com
531,471504,471504#Walmart.com
532,471781,471781#Walmart.com
533,471783,471783#Walmart.com
534,472131,472131#Walmart.com
535,472370,472370#Walmart.com
536,475986,475986#Walmart.com
537,478202,478202#Walmart.com
538,491346,491346#Walmart.com
539,491789,491789#Walmart.com
540,494759,494759#Walmart.com
541,496399,496399#Walmart.com
542,496997,496997#Walmart.com
543,497019,497019#Walmart.com
544,511824,511824#Walmart.com
545,512050,512050#Walmart.com
546,512796,512796#Walmart.com
547,513318,513318#Walmart.com
548,513480,513480#Walmart.com
549,513997,513997#Walmart.com
550,515347,515347#Walmart.com
551,515801,515801#Walmart.com
552,516450,516450#Walmart.com
553,516502,516502#Walmart.com
554,516730,516730#Walmart.com
555,516924,516924#Walmart.com
556,517183,517183#Walmart.com
557,517531,517531#Walmart.com
558,517868,517868#Walmart.com
559,518101,518101#Walmart.com
560,518465,518465#Walmart.com
561,518496,518496#Walmart.com
562,518597,518597#Walmart.com
563,519098,519098#Walmart.com
564,519191,519191#Walmart.com
565,519556,519556#Walmart.com
566,531652,531652#Walmart.com
567,531708,531708#Walmart.com
568,531762,531762#Walmart.com
569,531871,531871#Walmart.com
570,532130,532130#Walmart.com
571,532316,532316#Walmart.com
572,533328,533328#Walmart.com
573,533370,533370#Walmart.com
574,533512,533512#Walmart.com
575,535087,535087#Walmart.com
576,535142,535142#Walmart.com
577,536172,536172#Walmart.com
