@info
{
    "table":{
        "name":"candset_minus_gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"video_games",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbId",
                "type":"INTEGER"
            },
            {
                "name":"MobyGamesId",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbName",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesName",
                "type":"TEXT"
            },
            {
                "name":"theGamesDbDate",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesDate",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,theGamesDbId:INTEGER,MobyGamesId:INTEGER,theGamesDbName:TEXT,MobyGamesName:TEXT,theGamesDbDate:TEXT,MobyGamesDate:TEXT
51,876,2330,b'Operation Darkness',b'The Darkness',06/24/2008,06/25/2007
52,2083,2213,b'Medal of Honor',b'Medal of Honor: Warfighter',10/12/2010,10/23/2012
53,849,3727,b'NHL 13',b'NHL 2K7',09/11/2012,09/12/2006
54,2259,4430,b'Penny Arcade Adventures: Episode Two',"b""Strong Bad's Cool Game for Attractive People: Episode 5 - 8-Bit Is Enough""",10/30/2008,12/21/2010
55,127,381,"b""Bladestorm The Hundred Years' War""","b""Bladestorm: The Hundred Years' War""",11/06/2007,11/06/2007
56,2836,354,b'Academy Of Champions: Soccer',b'Academy of Champions: Soccer',11/03/2009,09/08/2009
57,600,5390,b'Kinect Adventures',b'Fruit Ninja Kinect: Space Capsule',11/04/2010,09/07/2011
58,1565,3560,b'Call of Duty Classic',b'Call of Duty: MW3 - Collection 1',12/02/2009,04/19/2012
59,3525,1399,b'Ski Doo: Snowmobile Challenge',b'Summer Challenge: Athletics Tournament',10/13/2009,07/30/2010
60,2003,667,b'Lego Indiana Jones: The Original Adventures',b'LEGO Star Wars: The Complete Saga',06/03/2008,11/06/2007
61,555,6451,b'How to Train Your Dragon',b'Mamono na Y\xc5\xabsha to Nazo no Iseki',03/23/2010,08/13/2010
62,1877,122,b'Hail to the Chimp',b'How to Survive',06/30/2008,11/05/2013
63,2550,3948,b'Soldier of Fortune: Payback',b'Super Star Soldier',11/19/2007,06/03/2011
64,443,6200,b'Final Fantasy XI Online',b'Final Fantasy XIII-2: Opponent - Nabaat',04/18/2006,06/11/2013
65,3172,5119,b'How to Train Your Dragon',b'Drawn to Life: The Next Chapter',03/23/2010,10/16/2009
66,3067,2794,b'Family Feud 2012 Edition',b'Family Feud: 2012 Edition',10/18/2011,10/18/2011
67,2003,666,b'Lego Indiana Jones: The Original Adventures',b'LEGO Star Wars III: The Clone Wars',06/03/2008,03/24/2011
69,1051,2597,b'Sega Bass Fishing',b'SEGA Bass Fishing',10/05/2011,10/05/2011
70,1133,1378,b'Star Trek: Legacy',b'LEGO Star Wars II: The Original Trilogy',12/15/2006,09/12/2006
71,372,5831,b'Dynasty Warriors 8',b'Dynasty Warriors 8',07/16/2013,07/16/2013
72,2434,5221,b'Saint Seiya Sanctuary Battle',b'Viking: Battle for Asgard',11/23/2011,03/25/2008
73,2672,669,b'The Lord of the Rings: The War in the North',b'LEGO The Lord of the Rings',11/01/2011,11/13/2012
