@info
{
    "table":{
        "name":"candset_minus_gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"video_games",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbId",
                "type":"INTEGER"
            },
            {
                "name":"MobyGamesId",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbName",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesName",
                "type":"TEXT"
            },
            {
                "name":"theGamesDbDate",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesDate",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,theGamesDbId:INTEGER,MobyGamesId:INTEGER,theGamesDbName:TEXT,MobyGamesName:TEXT,theGamesDbDate:TEXT,MobyGamesDate:TEXT
7629,2193,2863,b'NCAA Football 09',b'Football Generation',07/15/2008,06/13/2012
7630,1023,444,b'Saints Row',b'Saints Row: The Third',08/29/2006,11/15/2011
7631,966,790,b'Red Dead Redemption: Game of the Year Edition',b'Red Dead Redemption: Game of the Year Edition',10/11/2011,10/11/2011
7632,1457,233,"b""Assassin's Creed IV: Black Flag""","b""Assassin's Creed: Connor Saga""",10/29/2013,03/20/2014
7633,2724,1762,b'Tomb Raider: Underworld',b'Tomb Raider: Outfit Pack 1',11/18/2008,04/09/2013
7634,673,2283,b'Madden NFL 11',b'Madden NFL Arcade',08/10/2010,11/25/2009
7635,474,786,b'Gears of War 2',b'Record of Agarest War (The Really Naughty Limited Edition)',11/07/2008,04/26/2010
7636,3086,3629,b'Final Fantasy Crystal Chronicles: My Life as a King',b'Crystal Defenders',05/20/2008,01/27/2009
7637,1457,230,"b""Assassin's Creed IV: Black Flag""","b""Assassin's Creed: Brotherhood (Codex Edition)""",10/29/2013,11/19/2010
7638,1062,330,b'Shellshock 2: Blood Trails',b'Matt Hazard: Blood Bath and Beyond',02/24/2009,01/06/2010
7639,1491,6169,b'Battlefield: Bad Company 2',b'Battlefield 3: Aftermath',03/02/2010,12/11/2012
7640,961,4570,b'Realms of Ancient War',b'Gears of War 2 (Limited Edition)',09/25/2012,11/07/2008
7641,660,460,b'Lost Planet: Extreme Condition Colonies Edition',b'Tomb Raider: Tomb of the Lost Adventurer',05/27/2008,06/04/2013
7642,1807,2496,b'Final Fight: Double Impact',"b""Tom Clancy's Splinter Cell: Double Agent""",04/15/2010,03/30/2007
7643,2720,693,b'Tomb Raider (2013)',b'Tomb Raider (Benelux Limited Edition)',03/05/2013,03/05/2013
7644,762,1006,b'MotionSports: Play for Real',b'The Houchi Play',11/04/2010,03/20/2012
7645,672,2284,b'Madden NFL 10',"b""Madden NFL: XX Years (Collector's Edition)""",08/14/2009,08/12/2008
7646,1398,847,b'007: Quantum of Solace',b'007: Legends',11/04/2008,10/16/2012
7648,857,1819,b'Nickelodeon Dance 2',b'Dance Paradise',11/06/2012,02/15/2011
7649,605,5550,b'Kinect Sesame Street TV',b'Kinect Nat Geo TV: Season 2',09/18/2012,01/07/2013
7651,919,5304,b'Pro Evolution Soccer 2009',b'PES 2013: Pro Evolution Soccer',11/11/2008,09/25/2012
7652,1678,755,b'Deus Ex: Human Revolution',b'Deus Ex: Human Revolution - The Missing Link',08/23/2011,10/18/2011
7653,456,1459,b'Forza Motorsport 3',b'Forza Motorsport 3',10/27/2009,10/27/2009
7654,345,6335,b'Dragon Age: Inquisition',b'Dragon Age: Origins - The Stone Prisoner',11/18/2014,11/03/2009
7655,1068,6255,"b""Sid Meier's Civilization Revolution""","b""Sid Meier's Pirates!""",07/08/2008,04/07/2008
7656,1541,610,b'Brain Challenge Deluxe',b'Mutant Mudds Deluxe',12/05/2008,12/17/2013
7657,536,3375,b'Harry Potter and the Half-Blood Prince',b'Harry Potter and the Deathly Hallows: Part 1',06/30/2009,11/01/2010
7658,5,2120,b'2010 FIFA World Cup South Africa',"b""South Park: Let's Go Tower Defense Play!""",04/30/2010,10/07/2009
7659,1118,2085,b'Spider-Man 3',b'The Amazing Spider-Man',05/04/2007,06/26/2012
7660,2893,3508,b'Ben 10 Alien Force: Vilgax Attacks',b'Skylanders: Swap Force - Heavy Duty Sprocket (Series 2) / Twin Blade Chop Chop (Series 3) / Scorp',10/28/2008,10/16/2013
7661,1622,5410,b'Crysis 2: Limited Edition',b'Crysis 2 (Limited Edition)',03/24/2011,03/22/2011
7662,1204,1473,b'The King of Fighters XIII',b'Lightning Returns: Final Fantasy XIII - FFVII Cloud',11/22/2011,02/11/2014
7663,55,5695,"b""Assassin's Creed Anthology""","b""Assassin's Creed: Revelations - Mediterranean Traveler Map Pack""",11/30/2012,01/24/2012
7664,455,1466,b'Forza Motorsport 2',b'Forza Motorsport 3: The Summer Velocity Car Pack',05/29/2007,06/08/2010
7665,1793,1618,b'FIFA Soccer 11',b'FIFA Soccer 13',09/28/2010,09/25/2012
7666,3024,3913,b'Disney: The Princess and the Frog',b'Disney Infinity: Phineas',,04/29/2014
7667,56,5688,"b""Assassin's Creed II""","b""Assassin's Creed II: Sequence 12 - Battle of Forli""",11/17/2009,01/28/2010
7669,1255,991,b'TNA Impact',b'Final Fight: Double Impact',09/12/2008,04/14/2010
7670,3567,1418,b'Super Mario All-Stars: 25th Anniversary Edition',b'Super Mario Bros. 2',,07/02/2007
7671,675,2273,b'Madden NFL 13',b'Madden NFL 06',08/28/2012,11/17/2005
7672,1164,2728,b'Tekken 6',b'Memories Off 6: T-wave',10/27/2009,08/27/2009
7673,1840,3206,b'God of War: Ascension',b'God of War',03/12/2013,04/21/2011
7674,641,1371,b'LEGO Star Wars III: The Clone Wars',b'LEGO Indiana Jones: The Original Adventures',03/22/2011,06/03/2008
7675,3016,3918,b'Disney Infinity',b'Disney Infinity: Violet',08/18/2013,08/18/2013
7676,511,312,b'Guitar Hero: Aerosmith',b'Guitar Hero: Van Halen',06/29/2008,12/22/2009
7677,2717,4060,"b""Tom Clancy's Splinter Cell HD Trilogy""","b""Tom Clancy's H.A.W.X""",09/27/2011,04/09/2013
7678,778,6055,b'Namco Museum: Virtual Arcade',b'Mortal Kombat: Arcade Kollection',11/04/2008,08/31/2011
7679,3551,4882,b'Spy Games: Elevator Mission',b'World Games',11/02/2007,04/25/2008
7680,1705,4726,b'Dragon Age: Inquisition',b'Dragon Age: Origins -  The Darkspawn Chronicles',11/18/2014,05/18/2010
7681,1902,842,b'Hiiro no Kakera Aizouban: Akane Iro no Tsuioku',b'No More Heroes: Red Zone',05/26/2011,07/22/2011
7682,2946,2311,"b""Cars Toon Mater's Tall Tales""",b'Tales of Monkey Island: Chapter 5 - Rise of the Pirate God',09/26/2011,02/01/2010
7683,159,6338,b'Bullet Witch',b'Dragon Age: Origins - Witch Hunt',02/27/2007,09/07/2010
7684,1192,954,b'The Elder Scrolls V: Skyrim Legendary Edition',"b""The Elder Scrolls IV: Oblivion - The Thieves' Den""",06/04/2013,05/22/2006
7685,3244,3643,"b""Let's Dance with Mel B""",b'Dance Dance Revolution: Winx Club',04/24/2012,03/26/2009
7686,2007,667,b'LEGO Star Wars III: The Clone Wars',b'LEGO Star Wars: The Complete Saga',03/22/2011,11/06/2007
7687,104,2278,b'Ben 10: Galactic Racing',b'Madden NFL 10',10/18/2011,08/14/2009
7688,3215,2431,b'Kidz Bop Dance Party!',b'Just Dance 4',09/21/2010,10/09/2012
7689,1083,57,b'Skylanders Trap Team',"b""Skylanders: Spyro's Adventure - Whirlwind / Double Trouble / Drill Sergeant""",10/05/2014,01/01/2012
7690,2670,2371,"b""The Lord of the Rings: Aragorn's Quest""",b'LEGO The Lord of the Rings: Middle-earth Character Pack 2',09/14/2010,12/11/2012
7691,2392,3844,b'Risen 2: Dark Waters',b'Dark Souls II',08/03/2012,03/11/2014
7692,2351,3211,b'Record of Agarest War 2 Limited Edition',b'God of War II',06/27/2012,04/21/2011
7693,3321,4879,b'Monster Hunter G',b'Wonder Boy in Monster World',04/03/2009,04/23/2007
7694,2008,656,b'LEGO Star Wars: The Complete Saga',b'LEGO Batman: The Videogame',11/06/2007,09/23/2008
7695,1165,4284,b'Tekken Tag Tournament 2',b'Tekken Tag Tournament 2',09/11/2012,09/11/2012
7696,1153,5144,b'Super Street Fighter IV: Arcade Edition',"b""Street Fighter IV (Collector's Edition)""",12/16/2010,02/17/2009
7697,2859,2820,b'Angry Birds Star Wars',b'Kirby Super Star',,05/17/2010
7698,1329,4608,b'Virtua Tennis 2009',b'Smash Court Tennis 3',06/09/2009,08/19/2008
7699,3242,1144,b'LEGO The Lord of the Rings',b'LEGO Star Wars: The Complete Saga',11/13/2012,11/06/2007
7700,224,386,b'Combat Wings: The Great Battles of WWII',b'Blazing Angels 2: Secret Missions of WWII',03/27/2012,09/18/2007
7701,977,1700,b'Resident Evil 6',b'Resident Evil 5',10/02/2012,03/13/2009
7702,2061,646,b'Major League Baseball 2K7',b'League Bowling',02/26/2007,12/21/2010
7703,158,697,b'Bullet Soul Infinite Burst',b'Dragon Ball Z: Burst Limit',,06/10/2008
7705,1567,2266,b'Call of Duty: Black Ops',b'Call of Duty: Black Ops II - North American Flags of the World Calling Card Pack',11/09/2010,04/11/2013
7706,2644,2391,b'The Chronicles of Narnia: Prince Caspian',b'Lightning Returns: Final Fantasy XIII - Shining Prince',05/15/2008,01/28/2014
7707,2388,842,b'Rinne no Lagrange: Kamogawa Days Game & OVA Hybrid Disc',b'No More Heroes: Red Zone',08/23/2012,07/22/2011
7708,2251,198,b'Overlord: Raising Hell',b'Ride to Hell: Retribution',06/24/2008,06/25/2013
7709,2403,2689,b'Rock Band Track Pack Volume 2',b'Rock Band Blitz',11/17/2008,08/28/2012
7710,381,3759,b'Earth Defense Force Insect Armageddon',b'Skylanders: Swap Force - Night Shift / Boom Jet',07/05/2011,11/15/2013
7711,1852,5987,b'Grand Theft Auto IV',b'Grand Theft Auto V',04/29/2008,09/17/2013
7712,1095,2110,b'Sonic & SEGA All-Stars Racing with Banjo-Kazooie',b'Sonic the Hedgehog 4: Episode II',02/23/2010,05/16/2012
7713,1838,3244,b'God of War Origins Collection',b'Dragon Age: Origins - Awakening',09/13/2011,03/16/2010
7714,2613,2843,b'Super Street Fighter IV',"b""Street Fighter IV (Collector's Edition)""",04/27/2010,02/17/2009
7715,72,3741,b'Baja: Edge of Control',"b""Ninja Gaiden 3: Razor's Edge""",09/22/2008,04/02/2013
7716,2296,1613,b'Pro Evolution Soccer 2009',b'FIFA Soccer 08',03/17/2009,09/27/2007
7718,2330,6347,b'Ratchet & Clank',b'Ratchet & Clank Future: A Crack in Time',08/28/2012,10/27/2009
7719,3389,4641,b'No More Heroes',b'Zero: Tsukihami no Kamen',01/22/2008,07/31/2008
7720,2411,2692,b'Rocketbirds: Hardboiled Chicken',b'Rocketbirds: Hardboiled Chicken',10/18/2011,10/18/2011
7721,1359,5490,b'World of Tanks: Xbox 360 Edition',b'360 Lines',02/12/2014,06/15/2010
7722,1836,1077,b'God of War Collection',b'Call of Duty: World at War - Map Pack 2',11/17/2009,06/11/2009
7723,1278,4071,b'Too Human',b'Too Human',08/19/2008,08/19/2008
7724,2354,5330,b'Red Baron Arcade',b'Command & Conquer: Red Alert 3 (Ultimate Edition)',09/18/2008,03/23/2009
7725,2687,1330,b'The Walking Dead',b'The Walking Dead: Episode 5 - No Time Left',12/11/2012,11/20/2012
7726,177,3136,b'Call of Duty 2',b'Call of Duty: MW3 - Content Pack 6',10/25/2005,06/19/2012
7727,815,1503,b'NCAA Basketball 09',b'SBK 09: Superbike World Championship',11/17/2008,05/01/2009
7728,1399,1614,b'2010 FIFA World Cup South Africa',b'FIFA Soccer 09',04/27/2010,10/01/2008
7729,462,3614,b'Front Mission Evolved',b'Carrier Command: Gaea Mission (Demo Version)',09/28/2010,12/18/2012
7730,2556,6419,b'Sonic Adventure 2',b'Sonic Generations',10/02/2012,11/01/2011
7731,2191,2245,b'NCAA Basketball 10',b'NCAA Football 08',11/17/2009,07/17/2007
7732,1132,5136,b'Star Trek',b'Star Wars: The Force Unleashed (Ultimate Sith Edition)',04/23/2013,11/06/2009
7733,2358,1427,b'Red Faction: Armageddon',b'Red Faction',06/07/2011,04/24/2012
7734,3190,2916,b'Jewel Quest Trilogy',b'Puzzle Quest: Challenge of the Warlords',02/15/2011,11/29/2007
7735,1801,4057,b'Final Fantasy X / X-2 HD Remaster',"b""Tom Clancy's Ghost Recon: Advanced Warfighter 2 / Tom Clancy's EndWar""",03/18/2014,09/17/2009
7736,1231,2075,b'The Walking Dead: Episode 3: Long Road Ahead',b'Alpha Chimp: Episode 1 - The Jungle',08/29/2012,10/20/2010
7737,1468,4136,b'Atelier Rorona: The Alchemist of Arland',b'Atelier Elie: Salburg no Renkinjutsushi 2',10/22/2010,03/21/2008
7738,1407,2844,b'Acceleration of Suguri X Edition',b'Street Fighter X Tekken',02/15/2011,03/06/2012
7739,1990,1756,b'Lara Croft and the Guardian of Light',b'Tomb Raider III: Adventures of Lara Croft',09/28/2010,09/17/2009
7740,1274,6587,"b""Tony Hawk's Pro Skater HD""","b""Tony Hawk's Pro Skater HD""",08/28/2012,07/18/2012
7741,995,6409,b'Rock Band',b'Rock of Ages',11/20/2007,08/31/2011
7742,2723,695,b'Tomb Raider: The Final Hours Edition',b'Tomb Raider: Caves and Cliffs Multiplayer Map Pack',03/05/2013,04/23/2013
7743,2595,2832,b'Star Wars: The Force Unleashed -- Ultimate Sith Edition',b'Star Wars: The Force Unleashed II',11/03/2009,10/26/2010
7744,3387,3511,b'Night at the Museum: Battle of the Smithsonian',b'Skylanders: Swap Force - Legendary Night Shift',05/05/2009,11/10/2013
7745,509,5687,b'Guitar Hero III: Legends of Rock',"b""Assassin's Creed III: The Tyranny of King Washington - The Redemption""",10/28/2007,04/23/2013
7746,2517,1738,b'SingStar: Back to the 80s',b'Brainpipe: A Plunge to Unhumanity',10/28/2011,12/09/2009
7747,2557,6415,b'Sonic CD',b'Sonic Adventure 2: Battle Mode',12/20/2011,10/02/2012
7748,2594,5764,b'Star Wars: The Force Unleashed',b'Skylanders: Swap Force - Rubble Rouser',09/16/2008,12/29/2013
7749,979,1704,b'Resident Evil Code: Veronica X HD',b'Resident Evil 5: Lost in Nightmares',09/27/2011,02/17/2010
7750,1567,2257,b'Call of Duty: Black Ops',b'Call of Duty: Black Ops II - Bacon MP Personalization Pack',11/09/2010,04/11/2013
7751,1967,4860,b'Kane & Lynch: Dead Men',b'Kane & Lynch 2: Dog Days (Limited Edition)',11/13/2007,08/20/2010
7752,2551,2387,b'Soldner-X 2: Final Prototype',b'Lightning Returns: Final Fantasy XIII - FFX Yuna',05/25/2010,02/11/2014
7753,2709,4060,"b""Tom Clancy's Ghost Recon Advanced Warfighter""","b""Tom Clancy's H.A.W.X""",,04/09/2013
7755,2561,6423,b'Sonic the Hedgehog 2',b'Sonic the Hedgehog',04/19/2011,01/30/2007
7756,1587,3306,b'Castlevania: Lords of Shadow',b'Castlevania: Lords of Shadow',10/05/2010,10/05/2010
7757,184,2492,b'Call of Duty: Ghosts',b'Call of Duty: Ghosts',11/05/2013,11/05/2013
7758,1740,1772,b'Dynasty Warriors: Strikeforce',b'Warriors Orochi',02/16/2010,07/02/2013
7759,620,4297,b'L.A. Noire: The Complete Edition',b'L.A. Noire',11/15/2011,05/17/2011
7760,609,4478,b'Kinect Star Wars',b'CellFactor: Psychokinetic Wars',04/03/2012,06/03/2009
7761,1324,3084,b'Victorious: Time to Shine',b'Crash Time II',11/15/2011,11/27/2008
7762,968,794,b'Red Faction: Armageddon',b'Red Faction: Armageddon - Path to War',06/07/2011,08/02/2011
7763,2407,2695,b'Rock of Ages',b'Rock of Ages',05/15/2012,05/15/2012
7764,2499,4856,b'SingStar Dance',b'Just Dance 3',11/09/2010,12/06/2011
7766,1572,2254,b'Call of Duty: World at War',b'Call of Duty: Black Ops II',11/11/2008,11/13/2012
7767,1626,3823,b'Damage Inc.: Pacific Squadron WWII',b'Damage Inc.: Pacific Squadron WWII',08/28/2012,08/28/2012
7768,1688,857,b'Disgaea D2: A Brighter Darkness',b'2K Power Pack: The Darkness II / BioShock 2 / Mafia II',09/27/2013,10/22/2013
7769,2258,6010,b'Penny Arcade Adventures: Episode One',b'Pinball Arcade Table Pack 6: Elvira and the Party Monsters and No Good Gofers',10/23/2008,10/30/2012
7770,1084,2589,"b""Skylanders: Spyro's Adventure""",b'Skylanders Giants: Ninjini',10/16/2011,02/27/2012
7771,526,5466,b'Halo Wars: Limited Edition',b'Halo Wars (Limited Edition)',03/03/2009,03/03/2009
7772,2980,1203,b'CSI: Fatal Conspiracy',b'Fatal Fury 2',10/26/2010,06/30/2008
7773,1367,4941,b'WWE 2K14',b'WWE Smackdown vs. Raw 2008',10/29/2013,11/13/2007
7774,2992,1122,b'Dawn of Discovery',b'The Legend of Spyro: Dawn of the Dragon',06/23/2009,10/21/2008
7775,2229,837,"b""Ninja Gaiden 3: Razor's Edge""","b""Ninja Gaiden Sigma (Collector's Edition)""",04/02/2013,07/03/2007
7776,2577,6358,b'Spartacus Legends',b'Rayman Legends',12/31/2013,09/03/2013
7777,1082,3848,b'Skylanders Swap Force',"b""Skylanders: Spyro's Adventure""",,10/16/2011
7778,1296,400,b'Tropico 3',b'Tropico 4: Gold Edition',02/16/2010,11/22/2012
7779,3733,4627,b'X-Men: Destiny',b'X-Men: Destiny',09/27/2011,09/27/2011
7780,1029,6496,b'Sam & Max Beyond Time and Space',b'Warhammer 40,000: Space Marine',10/14/2009
7781,778,3604,b'Namco Museum: Virtual Arcade',b'Capcom Arcade Cabinet: 1985-I Pack',11/04/2008,03/05/2013
7782,1670,2238,b'Def Jam Rapstar',b'NBA Jam',10/05/2010,11/17/2010
7783,2942,4882,b'Carnival Games Mini Golf',b'World Games',10/20/2008,04/25/2008
7784,2700,6560,b'Time and Eternity',b'Blades of Time',07/16/2013,03/09/2012
7785,1853,1740,b'Grand Theft Auto IV: The Complete Edition',b'Breath of Fire IV',10/26/2010,08/16/2011
7786,145,938,b'Borderlands',"b""Borderlands 2: Tiny Tina's Assault on Dragon Keep""",10/20/2009,06/25/2013
7787,36,3365,"b""American McGee's Alice""",b'Karaoke Revolution Presents American Idol Encore',06/14/2011,02/05/2008
7788,3347,4231,b'Naruto Shippuden: Clash of Ninja Revolution 3',b'Victorious Boxers: Revolution',11/12/2009,10/16/2007
7789,714,997,b'Matt Hazard: Blood Bath and Beyond',b'Hitman: Blood Money',01/06/2010,05/30/2006
7790,2259,545,b'Penny Arcade Adventures: Episode Two',"b""Another Century's Episode: R""",10/30/2008,08/19/2010
7791,2339,6351,b'Ratchet & Clank: Into the Nexus',b'Ratchet & Clank: Up Your Arsenal',11/12/2013,06/27/2012
7792,2076,4353,b'Mass Effect 2',b'Mass Effect 2: Aegis Pack',01/18/2011,01/18/2011
7793,3725,4624,"b""WWE '12""",b'WWE Smackdown Vs Raw 2011',11/22/2011,10/26/2010
7794,1029,3081,b'Sam & Max Beyond Time and Space',b'Crash Time',10/14/2009,01/01/2008
7795,2533,4327,"b""Skylanders: Spyro's Adventure""","b""Skylanders: Spyro's Adventure - Whirlwind / Double Trouble / Drill Sergeant""",10/16/2011,01/01/2012
7796,54,5694,"b""Assassin's Creed""","b""Assassin's Creed: Revelations""",11/13/2007,11/15/2011
7797,3267,6716,b'Madden NFL 10',b'Madden NFL 11',08/13/2009,08/10/2010
7798,3018,3920,b'Disney Princess: My Fairytale Adventure',b'Disney Infinity: Wreck-it Ralph Toy Box Pack',,04/01/2014
7799,1233,3745,b'The Walking Dead: Episode 5: No Time Left',b'No Luca No',11/21/2012,08/06/2011
7800,596,4930,b'Karaoke Revolution Presents: American Idol Encore',b'Worms: The Revolution Collection',02/05/2008,05/03/2013
7801,1040,299,b'SBK X: Superbike World Championship',b'Guacamelee!: Super Turbo Championship Edition',12/07/2010,07/02/2014
7802,1155,1480,b'Superman Returns',b'Lightning Returns: Final Fantasy XIII - Shogun',11/20/2006,01/28/2014
7803,339,2140,b'Don King Presents: Prizefighter',b'Don King Presents: Prizefighter',06/10/2008,06/10/2008
7804,3016,3909,b'Disney Infinity',b'Disney Infinity: Elsa',08/18/2013,03/11/2014
7805,1263,6580,"b""Tom Clancy's Rainbow Six: Vegas 2""","b""Tom Clancy's Splinter Cell: Conviction (Shadow Edition)""",03/18/2008,04/16/2010
7806,2189,2234,b'NBA Unrivaled',b'NBA 2K7',11/12/2009,11/13/2006
7807,778,1291,b'Namco Museum: Virtual Arcade',b'Super Street Fighter IV: Arcade Edition',11/04/2008,06/28/2011
7808,462,969,b'Front Mission Evolved',b'Enemy Front (Limited Edition)',09/28/2010,06/13/2014
7809,642,5467,b'LEGO Star Wars: The Complete Saga',b'Halo Wars: Platinum Hits',11/06/2007,09/12/2011
7810,2668,3114,b'The Last of Us',b'The Last of Us (Joel Edition)',06/14/2013,06/14/2013
7811,1651,5891,b'Dead Rising 2',b'Dead Rising 2',09/28/2010,09/28/2010
7812,1757,4855,b'Everybody Dance',b'Just Dance 2014',10/18/2011,10/08/2013
7813,979,1709,b'Resident Evil Code: Veronica X HD',b'Resident Evil: Operation Raccoon City',09/27/2011,03/20/2012
7814,3348,3451,b'Naruto: Clash of Ninja Revolution',b'Naruto Shipp\xc5\xabden: Gekit\xc5\x8d Ninja Taisen! EX 2',10/23/2007,11/29/2007
7815,2881,3503,b'Bakugen: Battle Brawlers',b'Skylanders: Swap Force - Fiery Forge Battle Pack',,10/13/2013
7816,423,2888,b'Far Cry 3: Blood Dragon',b'Far Cry: The Wild Expedition',05/01/2013,02/12/2014
7817,342,2143,b'Doritos Crash Course 2',b'Doritos Crash Course',05/08/2013,12/08/2010
7818,1273,6586,"b""Tony Hawk's American Wasteland""","b""Tony Hawk's Project 8""",11/16/2005,11/07/2006
7819,2186,2229,b'NBA Live 09',b'NBA 2K10: Draft Combine',10/07/2008,09/03/2009
7820,1568,5749,b'Call of Duty: Black Ops II',b'Skylanders: Swap Force - Heavy Duty Sprocket (Series 2) / Twin Blade Chop Chop (Series 3) / Scorp',11/13/2012,10/16/2013
7821,3527,6140,b'Skylanders SWAP Force',b'Skylanders Giants: Prism Break (Series 2) / Lightning Rod (Series 2) / Drill Sergeant (Series 2)',10/13/2013,01/01/2013
7822,1029,339,b'Sam & Max Beyond Time and Space',b'Max: The Curse of Brotherhood',10/14/2009,05/21/2014
7823,624,4306,b'Left 4 Dead',b'Left 4 Dead',08/19/2008,11/18/2008
7824,3137,5711,b'Guitar Hero: Smash Hits',b'Spore Hero',06/16/2009,10/06/2009
7825,1885,4581,b'Harry Potter and the Deathly Hallows Part 1',b'Harry Potter and the Deathly Hallows: Part 2',11/16/2010,07/01/2011
7826,2269,6652,b'PixelJunk 3 in 1 Pack',b'Alien Breed: Evolution - Episode 1',04/01/2009,09/01/2010
7827,1145,1708,b'Street Fighter X Tekken',b'Resident Evil: Code: Veronica X',03/06/2012,09/27/2011
7828,1854,5985,b'Grand Theft Auto V',b'Grand Theft Auto: San Andreas',09/17/2013,12/11/2012
7829,208,3380,b'Castlevania: Symphony of the Night',b'Hasbro Family Game Night 3',06/13/2007,10/26/2010
7830,1275,2892,"b""Tony Hawk's Project 8""",b'F.E.A.R. 2: Project Origin',11/07/2006,02/10/2009
7831,604,4161,b'Kinect Rush: A Disney Pixar Adventure',"b""A Killer's Dream""",03/20/2012,11/21/2009
7832,2033,4193,b'Lost: Via Domus',b'Lost: Via Domus',02/26/2008,02/26/2008
7833,503,493,b'GRID Autosport',b'GRID',06/24/2014,06/03/2008
7834,638,1374,b'LEGO Pirates of the Caribbean: The Video Game',b'The LEGO Movie Videogame',05/10/2011,02/07/2014
7835,2014,5890,"b""Let's Dance with Mel B""",b'Deadpool: Merc with a Map Pack DLC',06/24/2011,07/30/2013
7836,2717,6653,"b""Tom Clancy's Splinter Cell HD Trilogy""",b'Alien Breed Trilogy',09/27/2011,06/13/2012
7837,276,3603,b'Days of Thunder: Arcade',b'Capcom Arcade Cabinet: 1985-II Pack',02/25/2011,04/02/2013
7838,1901,107,b'High Velocity Bowling',b'Hitman: Absolution (Exclusive High Roller Suit & Krugermeier 2-2 Pistol)',12/06/2007,11/20/2012
7839,1379,3606,b'XBOX Live Arcade Compilation Disc',b'Capcom Arcade Cabinet: All-in-One Pack',10/23/2007,05/21/2013
7840,1571,1081,b'Call of Duty: Modern Warfare 3',b'Call of Juarez: The Cartel ',11/08/2011,07/19/2011
7841,2123,2373,b'Mobile Suit Gundam: Crossfire',b'Leisure Suit Larry: Box Office Bust',11/13/2006,05/05/2009
7843,2351,5893,b'Record of Agarest War 2 Limited Edition',b'Dead Rising 2: Off the Record',06/27/2012,10/11/2011
7844,1280,4072,b'Top Spin 2',b'Top Spin 2',03/29/2006,03/29/2006
7845,890,5783,b'Penny Arcade Adventures: Episode One',"b""The Walking Dead: Season Two - Episode 3: In Harm's Way""",05/21/2008,05/14/2014
7846,641,584,b'LEGO Star Wars III: The Clone Wars',b'Diablo III',03/22/2011,09/03/2013
7847,1112,919,b'Space Channel 5: Part 2',b'Dead Space 2',10/05/2011,01/25/2011
7848,188,3123,b'Call of Juarez',b'Call of Duty: Modern Warfare 2 (Prestige Edition)',06/05/2007,11/10/2009
7849,2269,4360,b'PixelJunk 3 in 1 Pack',b'Mass Effect 3: Alternate Appearance Pack 1',04/01/2009,11/20/2012
7850,890,3602,b'Penny Arcade Adventures: Episode One',b'Capcom Arcade Cabinet: 1984 Pack',05/21/2008,04/16/2013
7851,1112,6366,b'Space Channel 5: Part 2',b'Space Channel 5: Part 2',10/05/2011,10/05/2011
7852,449,5136,b'Fist of the North Star: Kens Rage',b'Star Wars: The Force Unleashed (Ultimate Sith Edition)',11/02/2010,11/06/2009
7853,3405,556,"b""Pandora's Tower""","b""Pandora's Tower (Limited Edition)""",04/13/2012,04/13/2012
7854,2584,533,b'Spider-Man: Web of Shadows',b'The Amazing Spider-Man: Lizard Rampage Pack',10/21/2008,09/25/2012
7855,2368,179,b'Resident Evil 6',"b""Resident Evil 6 (Collector's Edition)""",10/02/2012,10/02/2012
7856,3477,3470,b'Rock Blast',b'Nerf N-Strike: Double Blast Bundle',02/09/2010,12/01/2010
7857,578,910,"b""Jimmie Johnson's Anything with an Engine""",b'Deadpool: Merc with a Map Pack DLC',11/01/2011,07/30/2013
7858,438,5578,b'FIFA Street',b'Ultra Street Fighter IV',03/16/2012,06/04/2014
7859,2510,518,b'SingStar Pop Edition',b'SingStar Pop Edition',05/01/2009,04/23/2009
7860,1176,2083,b'The Amazing Spider-Man 2',b'The Amazing Spider-Man: Rhino Challenge',04/29/2014,09/26/2012
7861,675,2279,b'Madden NFL 13',b'Madden NFL 11',08/28/2012,08/10/2010
7862,975,1704,b'Resident Evil 5',b'Resident Evil 5: Lost in Nightmares',03/13/2009,02/17/2010
7863,2372,184,b'Resident Evil: Chronicles HD Collection',b'Resident Evil: Revelations',06/26/2012,05/21/2013
7864,2516,515,b'SingStar Vol. 3',b'SingStar',11/14/2008,12/07/2007
7865,2471,6087,b'Sengoku Musou 3 Z',b'Yaiba: Ninja Gaiden Z',02/10/2011,03/18/2014
7866,729,5124,b'Metro: Last Light',b'Star Ocean: The Last Hope',05/14/2013,02/24/2009
7867,840,2282,b'NFL Blitz',b'Madden NFL 25',01/04/2012,08/27/2013
7868,2396,2684,"b""Robert Ludlum's The Bourne Conspiracy""","b""Robert Ludlum's The Bourne Conspiracy (HMV Exclusive Edition)""",06/03/2008,01/01/2008
7869,1353,4308,b'Wipeout Create & Crash',b'Left 4 Dead: Crash Course',10/15/2013,09/29/2009
7870,2086,6348,"b""Medieval Moves: Deadmund's Quest""",b'Ratchet & Clank Future: Quest for Booty',11/15/2011,08/21/2008
