@info
{
    "table":{
        "name":"aamzon_bn_candset_minus_gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"Books",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"amazon.id",
                "type":"INTEGER"
            },
            {
                "name":"bn.id",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,amazon.id:INTEGER,bn.id:INTEGER
469,3069,4502
470,3820,3739
471,2510,4873
472,3679,3403
473,14,1456
475,1303,2865
476,190,4536
477,190,4596
478,1010,449
479,1296,3597
480,2217,3879
481,2217,4992
482,3061,4563
483,3061,4567
484,4310,3234
485,3190,4270
486,1778,2093
488,1778,5024
489,3272,1431
490,38,4400
491,38,4566
492,687,804
494,3362,4441
496,2219,3999
498,2219,4001
500,2219,4004
501,1284,4616
503,3757,4505
504,5121,2670
505,5121,2671
506,4292,195
507,5183,4577
508,2845,1568
509,2845,1569
510,2845,1570
511,2845,1571
512,2845,1845
514,2845,1847
515,2845,1855
516,1677,4841
517,4705,5287
519,4705,5836
520,4705,5837
522,5086,4062
523,3120,321
524,1475,3126
525,1475,3854
526,1475,3857
527,1475,3864
528,1475,3889
531,4081,5252
532,3495,4917
533,3495,4920
534,3495,4923
535,2522,3303
536,1587,1072
537,800,2049
538,4076,1482
541,1462,3148
543,2447,3438
544,1255,3805
546,1255,3834
547,1255,3839
548,1255,6223
549,2737,1622
550,96,4017
551,96,4018
552,780,287
553,4898,4522
554,792,2986
556,893,282
557,5077,1427
558,2457,1094
559,4530,3527
560,5001,5043
561,246,947
564,2084,2335
566,4030,1535
567,3635,2525
568,1355,3765
569,1355,3838
572,1175,493
573,4966,3877
574,144,1150
575,144,1682
576,144,1683
578,144,1690
580,144,1693
582,144,1706
583,144,1710
584,144,1711
586,144,1713
587,144,1727
588,144,1852
589,144,1857
590,144,1879
591,144,1889
593,144,2235
594,144,4052
596,144,6159
597,144,6160
598,144,6185
599,4057,6233
600,3650,3249
601,2337,3892
602,399,2131
603,399,5187
604,399,5188
605,399,5189
607,693,3556
608,1903,660
609,1903,661
610,3703,5179
611,2570,3755
612,2570,3759
613,50,4483
615,4920,1857
616,4920,1889
617,4920,1894
619,4920,3167
620,4920,3171
621,537,4189
624,2555,5281
626,4088,1115
627,3868,5403
628,317,2498
629,317,2500
630,3036,504
631,4408,6323
632,2191,2697
633,2191,2702
634,2191,2703
635,2191,2704
636,2191,2706
638,2191,2708
639,2191,2716
640,3848,407
641,1460,4084
642,2839,4213
643,2276,2328
644,435,2473
645,2411,803
646,4788,1890
647,3966,2492
648,4209,681
649,1886,3084
650,1647,1106
651,1989,1456
652,1401,3929
653,1401,6318
654,241,3346
655,3652,1530
656,2697,5696
657,5069,5625
659,1768,623
661,729,2514
662,729,2517
663,729,2518
664,729,3754
666,729,5735
667,4466,6421
668,4365,2484
669,5136,804
670,5136,1455
671,1998,796
672,4539,3595
673,4827,3760
675,4409,5936
676,2735,3949
677,907,4750
678,4618,1150
679,4618,1682
681,4618,1687
682,4618,1690
683,4618,1692
685,4618,1699
686,4618,1706
687,4618,1710
688,4618,1711
689,4618,1712
690,4618,1713
691,4618,1727
692,4618,1852
693,4618,1857
694,4618,1879
696,4618,1894
697,4618,2235
699,4618,4054
700,4618,6159
701,4618,6160
702,4618,6185
703,524,4770
704,1050,2570
705,1050,2571
706,1050,2572
707,1050,2592
708,1050,2594
709,3809,3109
710,1297,2852
711,2392,4597
712,2392,4598
714,1979,4353
716,3806,4557
718,2359,3841
720,2282,5599
721,2400,2411
723,1949,4086
726,1971,4526
727,4087,2153
729,2994,238
730,928,1482
731,655,6070
732,4494,3033
733,4438,3127
734,4438,3129
736,3613,627
737,3613,632
739,4197,2159
740,2558,1379
741,4792,5924
742,773,3674
743,773,3890
744,4890,616
745,4890,617
747,4890,619
748,4890,5615
749,976,1768
750,3988,270
751,3988,4606
753,3699,119
754,1423,5469
755,1083,2570
756,1083,2571
757,1083,2572
758,1083,2592
759,1083,2594
760,760,1345
761,760,1388
762,760,5864
763,344,4297
764,344,4298
765,4565,4783
766,3953,1435
767,3766,5645
769,3834,4862
770,3834,4867
771,3834,4868
772,3834,4870
774,3027,1598
776,4730,389
777,4154,5582
778,4154,5599
779,710,2001
780,710,2016
781,1267,3133
782,1267,5203
783,1267,5204
785,977,1386
787,1579,4473
789,2907,616
790,1243,1580
791,1243,1582
792,4853,5975
793,1129,4904
794,4222,4757
795,226,4862
796,226,4867
797,226,4868
798,226,4870
799,4319,6082
800,3904,6333
801,3323,2327
802,3323,2862
803,3323,4871
804,3323,5167
805,1549,4829
806,4055,2783
809,5175,4316
810,590,276
811,4358,573
812,1157,5281
813,1157,5305
814,1157,5315
815,3954,804
818,4951,5850
819,3411,6299
820,1494,3234
823,1293,4936
826,4852,653
827,4799,4731
828,419,84
829,419,148
830,4373,169
831,236,3900
832,3044,2831
833,2768,3765
834,149,1389
835,2588,15
836,3111,3295
838,5033,1856
839,122,2127
841,1030,1479
842,3342,2044
844,5204,4464
845,3823,4593
846,3229,3646
847,3578,2976
849,3414,2646
850,3242,3949
851,1651,3763
853,4177,3428
854,351,875
855,4269,411
856,2784,1145
858,4386,6105
859,4386,6106
860,4386,6109
861,577,6047
862,577,6049
863,3977,4089
864,1618,2480
867,1272,1876
868,2501,1481
869,3934,5501
870,647,3019
872,583,5405
873,3756,3873
876,4482,3568
878,645,484
879,4045,2532
880,3467,3536
881,4567,6407
882,430,1134
884,3320,2836
886,4324,3244
887,4324,3245
888,4324,3257
889,3602,6144
890,2941,134
891,196,783
892,3736,3865
894,3304,3147
895,4743,112
896,3895,2154
897,638,3136
898,1872,135
899,421,1459
900,4298,4386
901,4298,4453
902,4298,4472
903,3849,4495
904,3849,4507
905,2349,3845
906,3170,1558
907,249,4634
908,3580,5851
911,2816,6268
912,897,2031
913,897,5682
914,919,5383
915,113,489
916,113,3239
917,113,3240
918,113,3241
919,113,3243
920,3587,3347
921,954,4549
922,954,4550
923,954,4551
924,4771,5779
925,4771,5780
926,4771,5781
927,4606,4219
929,348,4288
930,3844,489
931,3844,3239
932,3844,3241
935,2003,6095
936,2003,6098
937,2003,6100
938,2003,6103
939,2003,6104
940,3803,4544
941,4723,1334
942,4723,3687
943,4723,5695
944,628,3590
945,1005,5028
946,1005,5029
947,4058,3678
948,4058,4990
949,4058,4996
950,1416,5641
951,3639,2489
952,3939,4926
953,1458,4592
954,3561,840
956,2353,4924
957,2353,5642
958,942,4315
959,1515,4563
960,1515,4567
961,4781,1855
962,3103,1863
963,1542,2184
966,2091,620
967,747,2629
968,1629,235
969,247,5608
970,247,5681
971,1762,3619
972,1762,3873
973,1442,4753
974,2391,5172
975,2488,2128
976,1290,1345
977,1290,1388
978,1290,5166
979,2113,2366
980,2489,2491
981,4000,2902
983,2777,1289
984,2777,1430
985,2777,1475
986,2777,1476
987,2777,2458
988,2777,5701
989,91,5500
991,4896,4906
992,3480,4754
993,4435,5752
994,3566,3869
995,3566,5038
997,3450,1393
998,4256,3418
999,2171,2809
1000,1136,465
1002,3398,3225
1005,1053,1357
1006,1053,4391
1007,4863,4974
1008,4735,2485
1011,3496,3234
1012,2194,848
1013,5133,2494
1014,272,5410
1015,553,2851
1017,79,2487
1018,5021,2468
1019,4522,1070
1020,5158,5147
1021,2685,4447
1022,484,5285
1024,484,5307
1026,1070,3859
1028,2022,4629
1029,3858,3630
1030,4161,3648
1031,2426,5747
1032,833,716
1034,4134,3984
1035,297,115
1036,297,126
1037,297,4745
1038,297,5605
1040,4501,1345
1041,4501,1388
1042,4501,3954
1043,4289,3313
1044,4194,3794
1045,3534,2178
1046,4464,5924
1047,4464,5925
1048,143,2836
1049,2151,4817
1050,2151,4818
1051,3369,1004
1052,4075,1288
1053,4101,4468
1054,3348,2035
1056,2343,521
1057,2343,1345
1058,2343,1388
1059,4548,4552
1060,1149,1429
