@info
{
    "table":{
        "name":"pt_brand_candset",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"wgec_amazon_samsung",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"samsung.id",
                "type":"TEXT"
            },
            {
                "name":"amazon.id",
                "type":"TEXT"
            },
            {
                "name":"samsung.Product_Type",
                "type":"TEXT"
            },
            {
                "name":"samsung.Product_Name",
                "type":"TEXT"
            },
            {
                "name":"samsung.Brand",
                "type":"TEXT"
            },
            {
                "name":"amazon.Product_Type",
                "type":"TEXT"
            },
            {
                "name":"amazon.Product_Name",
                "type":"TEXT"
            },
            {
                "name":"amazon.Brand",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairId:INTEGER,samsung.id:TEXT,amazon.id:TEXT,samsung.Product_Type:TEXT,samsung.Product_Name:TEXT,samsung.Brand:TEXT,amazon.Product_Type:TEXT,amazon.Product_Name:TEXT,amazon.Brand:TEXT
24,14,1839,"[""default""]","[""Samsung WS80A Elite Ultrasound""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
25,37,1839,"[""default""]","[""TW-J5500 Sound Tower""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
26,38,1839,"[""default""]","[""15\u201aÄù pedestal for washers or dryers \u201aÄì Blue Steel""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
27,12,1839,"[""default""]","[""Evolution Kit""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
28,153,1839,"[""default""]","[""SSD 840 EVO 2.5\"" SATA III 750GB""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
29,171,1839,"[""default""]","[""SSD 850 EVO mSATA 1TB""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
30,173,1839,"[""default""]","[""CY-TE65LCC - 65\u201aÄù Touch Overlay""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
31,101,1839,"[""default""]","[""15\u201aÄù pedestal for washers or dryers \u201aÄì Platinum""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
32,100,1839,"[""default""]","[""15\"" pedestal for washers or dryers - Breakwater Blue""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
33,204,1839,"[""default""]","[""LPKIT-3Conversion Kit""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
