@info
{
    "table":{
        "name":"tableA",
        "description":"",
        "idAttrib":{
            "name":"id",
            "type":"INTEGER"
        },
        "projectName":"breakfast",
        "attributes":[
            {
                "name":"id",
                "type":"INTEGER"
            },
            {
                "name":"brand",
                "type":"TEXT"
            },
            {
                "name":"description",
                "type":"TEXT"
            },
            {
                "name":"ingredients",
                "type":"TEXT"
            },
            {
                "name":"keywords",
                "type":"TEXT"
            },
            {
                "name":"price",
                "type":"FLOAT"
            },
            {
                "name":"size",
                "type":"TEXT"
            },
            {
                "name":"title",
                "type":"TEXT"
            },
            {
                "name":"weight",
                "type":"FLOAT"
            }
        ]
    }
}

@data
id:INTEGER,brand:TEXT,description:TEXT,ingredients:TEXT,keywords:TEXT,price:FLOAT,size:TEXT,title:TEXT,weight:FLOAT
11,POP-TARTS,NA,NA,Kellogg's Pop-Tarts Frosted Grape Toaster Pastries  14.1 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,1.98,0.3021x0.2917x0.4428,Kellogg's Pop-Tarts Frosted Grape Toaster Pastries  14.1 oz,0.0734
12,Quaker Oatmeal,There are more reasons to love Quaker Lower Sugar Strawberries & Cream/Peaches & Cream Instant Oatmeal Larger  whole grain oats for a heartier texture,Strawberries & Cream Ingredients: Whole Grain Rolled Oats  Sugar  Flavored And Colored Fruit Pieces (Dehydrated Apples [Treated With Sodium Sulfite to Promote Color Retention] Artificial Strawberry Flavor  Citric Acid  Red 40)  Maltodextrin  Partially Hydrogenated Soybean Oil**  Salt  Calcium Carbonate  Whey  Sodium Caseinate  Guar Gum  Artificial Flavor  Oat Flour  Niacinamide*  Reduced Iron  Vitamin A Palmitate  Pyridoxine Hydrochloride*  Riboflavin*  Thiamin Mononitrate*  Folic Acid*. *One of The B Vitamins **Adds A Dietarily Insignificant Amount of Trans Fat. Contains Milk Ingredients. This Contains 5g Sugar. Our Corresponding Fruit & Cream Flavor Contains 12g. Peaches & Cream Ingredients: Whole Grain Rolled Oats  Sugar  Flavored Fruit Pieces (Dehydrated Apples [Treated With Sodium Sulfite to Promote Color Retention]  Artificial Peach Flavor  Citric Acid  Annatto Color)  Maltodextrin  Partially Hydrogenated Soybean Oil**  Salt  Calcium Carbonate  Whey  Sodium Caseinate  Artificial Flavor  Guar Cum  Oat Flour  Sucralose  Corn Syrup Solids  Niacinamide*  Reduced Iron  Vitamin A Palmitate  Pyridoxine Hydrochloride*  Riboflavin*  Dipotassium Phosphate  Thiamin Mononitrate*  Mono And Diglycerides  Artificial Color  Folic Acid*  Soy Lecithin. *One of The B Vitamins **Adds A Dietarily Insignificant Amount of Trans Fat. Contains Milk And Soy Ingredients. This Contains 5g Sugar. Our Corresponding Fruit & Cream Flavor Contains 12g Sugar.,Quaker Lower Sugar Strawberries & Cream/Peaches & Cream Instant Oatmeal  1.23 oz  10 count  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,NA,Quaker Lower Sugar Strawberries & Cream/Peaches & Cream Instant Oatmeal  1.23 oz  10 count,-1.0
13,Great Value,Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product If for any reason you aren't happy  we'll replace it or return your money,Milled Corn  Sugar  Salt  Malt Syrup  High Fructose Corn Syrup  Sodium Ascorbate (Vitamin C)  Reduced Iron  Niacinamide  Pyridoxine Hydrochloride (Vitamin B6)  Riboflavin (Vitamin B2)  Vitamin A Palmitate  Thiamine Mononitrate (Vitamin B1)  Folic Acid  Vitamin B12  Vitamin D. BHT Added to Packaging to Help Preserve Freshness. Allergy Warning: May Contain Traces of Wheat And Soy.,Great Value Corn Flakes Cereal  18 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,8.313x3.125x11.688,Great Value Corn Flakes Cereal  18 oz,1.125
14,Alter Eco,Bright  festive Supergrain of The Andes,NA,Alter Eco Quinoa 14oz Pack of 8  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,83.02,10.0x10.0x5.0,Alter Eco Quinoa 14oz Pack of 8,14.24
15,Country Choice,Country Choice Irish Style Organic Oats are a hearty way to start your day They  are USDA organic,Organic Whole Grain Steel Cut Oats.,Country Choice Irish Style Organic Oats  Country Choice Oats  Organic Quick Oats,25.58,4.19x4.19x7.06,Country Choice Organic Irish Style Oats  24 oz (Pack of 6),10.98
16,Kind,A different KIND of whole grain,Whole Grains (Gluten Free Oats  Brown Rice  Gluten Free Oat Flour  Chia Seeds  Amaranth  Millet  Buckwheat  Quinoa)  Evaporated Cane Juice  Canola Oil  Chicory Root Fiber  Maple Syrup  Molasses  Natural Flavor  Sea Salt  Natural Vitamin E. Made In A Facility That Uses Peanuts  Tree Nuts And Sesame Seeds.,KIND Healthy Grains Maple Quinoa Clusters with Chia Seeds  11 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,NA,KIND Healthy Grains Maple Quinoa Clusters with Chia Seeds  11 oz,-1.0
17,Kellogg's Poptarts,The Kellogg's Frosted Chocolate Fudge Pop-Tarts are a triple treat of chocolaty deliciousness,Enriched Flour (Wheat Flour  Niacinamide  Reduced Iron  Thiamin Monoitrate [Vitamin B1]  Riboflavin [Vitamin B2]  Folic Acid)  Sugar  Dextrose  Vegetable Oil (Soybean  Cottonseed And Hydrogenated Cottonseed Oil+ With Tbhq And Citric Acid For Freshness)  Corn Syrup  Whey  Cracker Meal  High Fructose Corn Syrup  Cocoa  Contains Two Percent Or Less Of Cornstarch  Cocoa Processed With Alkali  Slat  Leavening (Baking Soda  Sodium Acid Pyrophosphate  Monocalcium Phosphate)  Modified Corn Starch  Mono- And Diglycerides  Sodium Stearoyl Lactylate  Gelatin  Dried Egg Whites  Datem  Partially Hydrogenated Soybean Oil+  Modified Wheat Starch  Xanthan Gum  Natural Vanilla Flavor  Caramel Color  Soy Lecithin  Calcium Phosphate  Color Added  Niacinamide  Reduced Iron  Vitamin A Palmitate  Pyridoxie Hydrochloride (Vitamin B6)  Riboflavin (Vitamin B2)  Thiamin Hydrochloride (Vitamin B1)  Folic Acid. +Less Than 0.5G Trans Fat Per Serving.,Kellogg's Frosted Chocolate Fudge Pop-Tarts  Pop Tarts Chocolate Fudge  Frosted Pop Tarts,3.5,11.69x7.75x11.19,Kellogg's Frosted Chocolate Fudge Pop-Tarts  16 ct,2.25
18,Quaker Oatmeal,For over 130 years  Quaker has unlocked the power of oats to help people get the perfect start to each day,Whole Grain Rolled Oats  Sugar  Semisweet Chocolate Chips (Sugar  Chocolate Liquor  Cocoa Butter  Soy Lecithin  Vanilla Extract)  Natural Flavor  Salt  Calcium Carbonate  Guar Gum  Caramel Color  Reduced Iron  Vitamin A Palmitate. Contains Soy Ingredients. May Contain Traces of Milk.,Quaker Chocolate Chip Instant Oatmeal  1.23 oz  10 count  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,NA,Quaker Chocolate Chip Instant Oatmeal  1.23 oz  10 count,-1.0
19,SPROUT,Sprout Rise Organic Purple Berry & Carrot Morning Multigrain Crunch Bites  bites of crunchy multigrain cereal filled with sweet fruit and veggie goodness  are a wholesome and tasty way to start your day  or pop a packet in your bag to enjoy anytime,Organic Cereal Shell: Organic Corn Flour  Organic Whole Wheat Flour  Organic Whole Oat Flour  Organic Dried Cane Syrup  Organic Brown Rice Flour  Calcium Carbonate  Sea Salt  Mixed Tocopherols (Natural Anti-Oxidant) Organic Fruit And Vegetable Filling: Organic Fruit And Vegetables (Organic Concentrated Apple Juice  Organic Concentrated Apple Puree  Organic Concentrated Blackcurrant Juice  Organic Concentrated Red Plum Juice  Organic Concentrated Black Carrot Juice  Organic Concentrated Blackberry Juice) Organic Vegetable Glycerol  Malic Acid  Natural Fruit Flavor.,Sprout Rise Organic Purple Berry & Carrot Morning Multigrain Crunch Bites  0.75 oz  5 count  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,NA,Sprout Rise Organic Purple Berry & Carrot Morning Multigrain Crunch Bites  0.75 oz  5 count,-1.0
20,Generic,Bring your bunch together anytime  anywhere with delicious Post Honey Bunches of Oats Crunchy Raspberry Granola,Whole Grain Rolled Oats  Brown Sugar  Whole Grain Rice  Canola Oil  Corn Syrup  Sunflower Oil  Whey (from Milk)  Sugar  Wildflower Honey  Whole Grain Wheat  Color (Red Beet And Elderberry Juice Concentrates  Raspberry Powder)  Natural Flavor. Vitamins And Minerals: Niacinamide  Reduced Iron  Zinc Oxide (Source of Zinc)  Vitamin B6   Vitamin A Palmitate  Riboflavin (Vitamin B2)  Thiamin Mononitrate (Vitamin B1)  Folic Acid  Vitamin B12  Vitamin D. Contains Wheat  Milk.,Post Honey Bunches of Oats Crunchy Raspberry Granola  11 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,NA,Post Honey Bunches of Oats Crunchy Raspberry Granola  11 oz,-1.0
