@info
{
    "table":{
        "name":"candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"gec_el",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT
205,15637114,15637114#eBags
206,15637124,15637124#eBags
207,7754470,7754470#ivgStores
208,7754471,7754471#ivgStores
209,15716918,15716918#eBags
210,15722364,15722364#eBags
211,15722382,15722382#eBags
212,15727165,15727165#eBags
213,15751622,15751622#eBags
214,15819062,15819062#eBags
215,932031,932031#ivgStores
216,2193980,2193980#ivgStores
217,16225401,16225401#eBags
218,16225405,16225405#eBags
219,16332634,16332634#eBags
220,3576511,3576511#ivgStores
221,16332658,16332658#eBags
222,16530330,16530330#eBags
223,16541537,16541537#eBags
224,16541545,16541545#eBags
225,16550056,16550056#eBags
226,16561673,16561673#eBags
227,16561688,16561688#eBags
228,16561711,16561711#eBags
229,16561787,16561787#eBags
230,16561924,16561924#eBags
231,16565533,16565533#eBags
232,16636672,16636672#eBags
233,5799656,5799656#ivgStores
234,5924809,5924809#ivgStores
235,16641283,16641283#eBags
236,16641284,16641284#eBags
237,16641285,16641285#eBags
238,16641310,16641310#eBags
239,16660595,16660595#eBags
240,16660597,16660597#eBags
241,16660704,16660704#eBags
242,16660729,16660729#eBags
243,9225261,9225261#ivgStores
244,16679655,16679655#eBags
245,870855,870855#ivgStores
246,870864,870864#ivgStores
247,1234888,1234888#ivgStores
248,16792219,16792219#eBags
249,16794871,16794871#eBags
250,16794882,16794882#eBags
251,2069533,2069533#ivgStores
252,16914020,16914020#eBags
253,3630468,3630468#ivgStores
254,16927127,16927127#eBags
255,16954485,16954485#eBags
256,17129242,17129242#eBags
257,17129629,17129629#eBags
258,17129636,17129636#eBags
259,17129650,17129650#eBags
260,17134142,17134142#eBags
261,17182015,17182015#eBags
262,17182017,17182017#eBags
263,5723581,5723581#ivgStores
264,17182073,17182073#eBags
265,17211233,17211233#eBags
266,17211257,17211257#eBags
267,6958528,6958528#ivgStores
268,8223017,8223017#ivgStores
269,8223021,8223021#ivgStores
270,8399430,8399430#ivgStores
271,17277037,17277037#eBags
272,9917038,9917038#ivgStores
273,872063,872063#ivgStores
274,872077,872077#ivgStores
275,1234849,1234849#ivgStores
276,2160471,2160471#ivgStores
277,17350676,17350676#eBags
278,17352778,17352778#eBags
279,2585626,2585626#ivgStores
280,17395983,17395983#eBags
281,17395992,17395992#eBags
282,17396012,17396012#eBags
283,5065210,5065210#ivgStores
284,17510991,17510991#eBags
285,8402511,8402511#ivgStores
286,8725133,8725133#ivgStores
287,17757012,17757012#eBags
288,9189612,9189612#ivgStores
289,9225259,9225259#ivgStores
290,17811882,17811882#eBags
291,9225260,9225260#ivgStores
292,17811883,17811883#eBags
293,19201326,19201326#eBags
294,870854,870854#ivgStores
295,908065,908065#ivgStores
296,1679172,1679172#ivgStores
297,19236954,19236954#eBags
298,19236956,19236956#eBags
299,2553353,2553353#ivgStores
300,39952262,39952262#Babyhaven
301,19325556,19325556#eBags
302,19341638,19341638#eBags
303,19341643,19341643#eBags
304,19400594,19400594#eBags
305,8223018,8223018#ivgStores
306,19417877,19417877#eBags
307,8223019,8223019#ivgStores
308,8223022,8223022#ivgStores
309,9917036,9917036#ivgStores
310,1234893,1234893#ivgStores
311,19486741,19486741#eBags
312,19486754,19486754#eBags
313,2685980,2685980#ivgStores
314,3136048,3136048#ivgStores
315,3356821,3356821#ivgStores
316,3576512,3576512#ivgStores
317,19486976,19486976#eBags
318,19500426,19500426#eBags
319,19500505,19500505#eBags
320,19502565,19502565#eBags
321,19502569,19502569#eBags
322,19502570,19502570#eBags
323,19502578,19502578#eBags
