@info
{
    "table":{
        "name":"candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_el_30k",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT
195,480809,480809#Walmart.com
196,14916290,14916290#Bic Warehouse
197,480858,480858#Walmart.com
198,42959999,42959999#O.co
199,481161,481161#Walmart.com
200,16472526,16472526#Tonzof
201,16472530,16472530#Tonzof
202,16472599,16472599#Tonzof
203,16480782,16480782#Tonzof
204,42960737,42960737#O.co
205,30026574,30026574#Perf-Moto
206,15173185,15173185#Bic Warehouse
207,496340,496340#Walmart.com
208,42960972,42960972#O.co
209,15569984,15569984#Bic Warehouse
210,501744,501744#Walmart.com
211,15994000,15994000#Bic Warehouse
212,501757,501757#Walmart.com
213,42961419,42961419#O.co
214,16489835,16489835#Tonzof
215,16489848,16489848#Tonzof
216,16491111,16491111#Tonzof
217,16493999,16493999#Tonzof
218,512583,512583#Walmart.com
219,16503291,16503291#Tonzof
220,30051055,30051055#Perf-Moto
221,16523404,16523404#Tonzof
222,16523411,16523411#Tonzof
223,16524296,16524296#Tonzof
224,16529013,16529013#Tonzof
225,16529184,16529184#Tonzof
226,16531383,16531383#Tonzof
227,16533403,16533403#Tonzof
228,16536952,16536952#Tonzof
229,16541373,16541373#Tonzof
230,16541978,16541978#Tonzof
231,16550334,16550334#Tonzof
232,42964067,42964067#O.co
233,17753207,17753207#Bic Warehouse
234,42964854,42964854#O.co
235,42964939,42964939#O.co
236,16560807,16560807#Tonzof
237,16561012,16561012#Tonzof
238,30052809,30052809#Perf-Moto
239,16563235,16563235#Tonzof
240,42965745,42965745#O.co
241,16575880,16575880#Tonzof
242,16595197,16595197#Tonzof
243,42965939,42965939#O.co
244,518581,518581#Walmart.com
245,16606780,16606780#Tonzof
246,42966029,42966029#O.co
247,19663352,19663352#Bic Warehouse
248,16609542,16609542#Tonzof
249,521460,521460#Walmart.com
250,42966636,42966636#O.co
251,42967133,42967133#O.co
252,42967214,42967214#O.co
253,10242691,10242691#Bic Warehouse
254,16636620,16636620#Tonzof
255,16636623,16636623#Tonzof
256,16636658,16636658#Tonzof
257,16636673,16636673#Tonzof
258,10730675,10730675#Bic Warehouse
259,42968031,42968031#O.co
260,16652564,16652564#Tonzof
261,11002011,11002011#Bic Warehouse
262,16652566,16652566#Tonzof
263,16652568,16652568#Tonzof
264,13005742,13005742#Bic Warehouse
265,13021177,13021177#Bic Warehouse
266,13136718,13136718#Bic Warehouse
267,532953,532953#Walmart.com
268,42968661,42968661#O.co
269,533118,533118#Walmart.com
270,42968936,42968936#O.co
271,14554426,14554426#Bic Warehouse
272,533213,533213#Walmart.com
273,533229,533229#Walmart.com
274,42969108,42969108#O.co
275,16828274,16828274#Tonzof
276,16880180,16880180#Tonzof
277,42969681,42969681#O.co
278,16898542,16898542#Tonzof
279,16900236,16900236#Tonzof
280,15140606,15140606#Bic Warehouse
281,15140624,15140624#Bic Warehouse
282,16904476,16904476#Tonzof
283,16904525,16904525#Tonzof
284,15993998,15993998#Bic Warehouse
285,16914242,16914242#Tonzof
286,16419693,16419693#Bic Warehouse
287,541908,541908#Walmart.com
288,16927109,16927109#Tonzof
289,16928767,16928767#Tonzof
290,16617641,16617641#Bic Warehouse
291,16954394,16954394#Tonzof
292,16954423,16954423#Tonzof
293,16911863,16911863#Bic Warehouse
294,16954444,16954444#Tonzof
295,16954545,16954545#Tonzof
296,42973296,42973296#O.co
297,42973342,42973342#O.co
298,42973442,42973442#O.co
299,42973443,42973443#O.co
300,561132,561132#Walmart.com
301,17037930,17037930#Tonzof
302,42973691,42973691#O.co
303,17338075,17338075#Bic Warehouse
304,568904,568904#Walmart.com
305,42974221,42974221#O.co
306,570879,570879#Walmart.com
307,42974421,42974421#O.co
308,17129037,17129037#Tonzof
309,17129178,17129178#Tonzof
310,17129183,17129183#Tonzof
311,17150998,17150998#Tonzof
312,17151024,17151024#Tonzof
313,17160241,17160241#Tonzof
314,17165079,17165079#Tonzof
315,17167137,17167137#Tonzof
316,17167613,17167613#Tonzof
317,17167623,17167623#Tonzof
318,17173548,17173548#Tonzof
319,17173551,17173551#Tonzof
320,17188976,17188976#Tonzof
321,17196377,17196377#Tonzof
322,17200963,17200963#Tonzof
323,30061115,30061115#Perf-Moto
324,17201269,17201269#Tonzof
325,588491,588491#Walmart.com
326,17218985,17218985#Tonzof
327,17219070,17219070#Tonzof
328,17237379,17237379#Tonzof
329,17237383,17237383#Tonzof
330,17237655,17237655#Tonzof
331,17243906,17243906#Tonzof
332,42978795,42978795#O.co
333,10988757,10988757#Bic Warehouse
334,11045743,11045743#Bic Warehouse
335,622795,622795#Walmart.com
336,17323857,17323857#Tonzof
337,17323914,17323914#Tonzof
338,17323942,17323942#Tonzof
339,17323997,17323997#Tonzof
340,17327785,17327785#Tonzof
341,13077609,13077609#Bic Warehouse
342,17354299,17354299#Tonzof
343,13215211,13215211#Bic Warehouse
344,17354312,17354312#Tonzof
345,17354322,17354322#Tonzof
346,13432605,13432605#Bic Warehouse
347,30062968,30062968#Perf-Moto
348,42980080,42980080#O.co
349,14575798,14575798#Bic Warehouse
350,17376845,17376845#Tonzof
351,17376847,17376847#Tonzof
352,17376851,17376851#Tonzof
353,17376869,17376869#Tonzof
354,17378648,17378648#Tonzof
355,17378701,17378701#Tonzof
356,14915847,14915847#Bic Warehouse
357,639991,639991#Walmart.com
358,14922680,14922680#Bic Warehouse
359,42984279,42984279#O.co
360,14928046,14928046#Bic Warehouse
361,14932009,14932009#Bic Warehouse
362,17460970,17460970#Tonzof
363,42984574,42984574#O.co
364,42984823,42984823#O.co
365,15047783,15047783#Bic Warehouse
366,17472692,17472692#Tonzof
367,17472978,17472978#Tonzof
368,17480457,17480457#Tonzof
369,17480516,17480516#Tonzof
370,17480517,17480517#Tonzof
